source,company,position_id,parent_position_id,job_requirement_id,position_intention_id,position_intention_name,position_name,position_url,position_req_code,batch_id,batch_name,category_name,family_code,family_name,data_source,work_locations,interview_locations,departments,circles,circle_codes,channels,feature_tags,publish_time,modify_time,graduation_from,graduation_to,requirement,description
bilibili,Bilibili,26604,,,,,AIP实习生,https://jobs.bilibili.com/campus/positions/26604,,,实习生招聘,技术类,,,,上海,,,,,,,2026-03-23 12:20:24,,,,"1、计算机相关专业在读（本科及以上），熟悉 Python 编程；
2、了解 PyTorch/TensorFlow 等至少一种深度学习框架，有基础模型使用经验；
3、具备一定的工程思维，逻辑清晰，学习能力强；
4、每周可实习 3 天及以上，持续 3 个月及以上优先；
5、熟练使用AI agent能力者优先。","1、协助完成 AI 模型工程化相关落地工作，包括数据处理、模型训练辅助、部署测试等；
2、配合团队优化模型推理性能、调试工程问题，整理技术文档；
3、参与 AI 项目的基础研发支持，跟进业务场景下的模型应用效果。"
bilibili,Bilibili,27028,,,,,AI产研实习生,https://jobs.bilibili.com/campus/positions/27028,,,实习生招聘,技术类,,,,上海,,,,,,,2026-03-06 15:29:03,,,,"## 1. 编程能力（必须）
熟练掌握：
- Python
熟悉：
- Git
- Linux
- API 开发
熟悉至少一种 Web framework：
- FastAPI
- Flask
- Django
- Node.js
加分：
- Rust
- Go
---
## 2. AI 技术能力（必须）
熟悉：
- PyTorch
- Transformers
- LLM API
理解：
- Prompt engineering
- RAG
- AI Agent
---
## 3. AI 产品能力（强烈加分）
你可能做过：
- AI Agent
- AI chatbot
- AI 自动化工具
- AI SaaS
示例：
- RAG 知识库
- AI coding assistant
- AI writing assistant
要求：
- 有 Demo
- 有 GitHub
- 项目可运行
---
## 4. AI 系统能力（加分）
了解：
- Vector database
例如：
- Pinecone
- Weaviate
- Qdrant
- Milvus
熟悉：
- LangChain
- LlamaIndex
---
# 我们非常看重
## 1. AI 实践
必须：
- 自己动手做过 AI 项目
例如：
- RAG
- Agent
- AI workflow
---
## 2. Builder mindset
你喜欢：
- 做产品
- 写代码
- 探索新技术
---
## 3. 自驱力
你可能：
- 深度使用 AI 工具
- 自己研究 LLM
- 做过 side project
加分项
以下任意一项均为加分：
- GitHub 开源项目
- AI 创业经历
- HuggingFace 贡献
- Kaggle 竞赛
---","我们正在寻找 **极具潜力的 AI 产研实习生**，参与构建下一代 **AI Agent / AI 产品系统**。
你将直接参与：
- AI Agent 系统开发
- LLM 产品设计
- AI 自动化工作流
- AI 数据与知识系统
我们希望你不仅是 **工程师**，更是 **AI Builder**。
## 1. AI Agent 开发
参与 AI Agent 系统设计与实现：
- LLM Agent 架构设计
- Tool calling / Function calling
- Agent workflow 设计
- 多 Agent 协作
---
## 2. AI 产品开发
参与 AI 产品设计与功能开发：
- Prompt engineering
- RAG 系统设计
- AI workflow automation
---"
bilibili,Bilibili,27012,,,,,AI创作开发实习生【2027届】,https://jobs.bilibili.com/campus/positions/27012,,,实习生招聘,技术类,,,,上海,,,,,,campusProjectId=53,2026-03-05 17:52:58,,,,"1. 基础背景
• 计算机、数学、物理或相关理工科专业，本科及以上在读
• 具备扎实的计算机基础（数据结构、算法、操作系统、计算机网络等）
2. 编程能力
• 具备良好的编程能力，至少熟练掌握一门主流编程语言（如 Python / C++ / Go / JavaScript 等）
• 具备良好的代码习惯和工程意识
3. AI 技术理解
• 对 AI、大模型、Agent、自动化工具等方向有兴趣或一定了解
• 熟悉或愿意深入学习 AI 工具生态，能够高效利用 AI 工具提升开发效率
4. 个人特质
• 思维敏捷，学习能力强
• 主动性高，愿意探索新技术
• 乐于面对挑战，能够适应快速迭代的研发环境
5. 加分项
• 有视频创作经验（例如 Bilibili / 小红书 / 抖音等平台创作者）
• 对视频制作流程有理解（脚本、剪辑、内容结构等）
• 有 AI Agent、LLM 应用、自动化工具开发经验","1. 参与 AI Agent 视频创作系统研发。参与构建面向视频创作的 AI Agent 系统，包括但不限于内容生成、素材组织、自动化视频生产流程等方向。
2. 探索和落地前沿 AI 技术。调研并实践各类大模型能力（LLM、多模态模型、视频/图像生成模型等），探索其在视频创作、内容生产中的实际应用。
3. 参与 AI 工具链建设。参与设计和开发面向创作者的 AI 工具与自动化工作流，例如内容生成、素材搜索、脚本生成、自动剪辑等能力。
4. 参与内部创业式团队研发流程。团队规模小、节奏快，采用敏捷迭代方式推进产品。从技术验证到产品化落地，都有机会深度参与。
5. 系统学习 AI Agent 相关技术体系。在实际项目中接触和学习完整的 AI Agent 技术栈，例如：大模型调用与工程化、Agent / Tool / Workflow 架构、多模态内容生成、AI 驱动的创作流程设计。"
bilibili,Bilibili,26024,,,,,AI创作系统后端实习生（Python/Flask）,https://jobs.bilibili.com/campus/positions/26024,,,实习生招聘,技术类,,,,上海,,,,,,,2025-12-24 11:36:51,,,,"- 熟悉 Python，了解 Flask 或类似 Web 框架
- 具备良好的代码规范意识，能写单元测试
- 了解基础的数据库/ORM 使用与常见数据操作
- 了解 Redis 的基础使用场景（缓存、锁、限流）
- 具备阅读和理解中大型代码仓库的能力
- 每周出勤5天，实习3个月以上","- 参与后端功能模块设计与实现，关注接口与业务逻辑质量，完善日志与调试工具
- 按既定规范实现 service/repository 层，保持代码可维护性，支持系统持续迭代
- 参与数据模型与接口规范整理，配合维护缓存（Redis）
- 整理接口与开发文档（README/调用示例）"
bilibili,Bilibili,26294,,,,,AI工程实习生,https://jobs.bilibili.com/campus/positions/26294,,,实习生招聘,技术类,,,,上海,,,,,,,2026-01-14 18:54:38,,,,"岗位要求：
- 本科及以上学历，计算机相关专业（计算机科学与技术、软件工程、人工智能等），在校学生；
- 熟练掌握Python编程语言，具备良好的代码风格与编程习惯；
- 了解模型部署、模型推理相关流程，有相关项目或实验经验者优先；
- 对常用大模型优化有一定了解，熟悉vllm、triton、pytorch等工具/框架者优先；
- 具备较强的学习能力、问题解决能力与沟通协作能力，工作积极主动；
- 能够保证稳定的实习时间，长期实习者优先。","岗位职责：
- 协助完成AI内容安全相关模型的部署与上线工作，包括环境配置、模型封装、服务调试等；
- 参与AI内容安全模型的适配优化，针对不同业务场景调整模型参数，提升模型推理效率与稳定性；
- 协助进行常用大模型的优化实践，探索vllm、triton等框架在内容安全场景下的应用；
- 配合团队完成模型推理性能测试、问题排查，整理相关技术文档与测试报告；
- 参与团队技术讨论，协助推进AI内容安全相关工程化方案的落地。"
bilibili,Bilibili,26917,,,,,AI开发实习生（平台工程方向）【2027届】,https://jobs.bilibili.com/campus/positions/26917,,,实习生招聘,技术类,,,,上海,,,,,,热门职位 | campusProjectId=53,2026-03-05 16:15:09,,,,"• CS相关专业在读；
• 熟悉 Python，掌握后端框架（FastAPI/Flask/Go 均可）
• 了解 Kubernetes，有容器化部署经验优先
• 了解分布式训练原理（DP/MP/PP）优先
• 有 Linux 系统管理和 Shell 脚本经验
• 了解 Prometheus/Grafana 监控体系加分
• 有 MLflow/W&B/Kubeflow 经验加分","• 参与大模型训推平台开发，支撑千卡至万卡训练任务
• 开发任务调度系统（Kubernetes + Volcano）
• 集成分布式训练框架（Megatron-LM/DeepSpeed/FSDP）
• 构建实验管理平台（实验追踪、超参搜索、模型版本管理）
• 开发 GPU 监控、故障检测、断点续传等运维工具"
bilibili,Bilibili,26927,,,,,AI开发实习生（应用工程方向）【2027届】,https://jobs.bilibili.com/campus/positions/26927,,,实习生招聘,技术类,,,,上海,,,,,,campusProjectId=53,2026-03-05 16:17:14,,,,"• CS/AI相关专业在读；
• 熟悉 Python，有良好系统设计能力
• 了解 LLM 原理，有 Prompt Engineering 或 API 调用经验
• 了解 Agent 框架（LangChain/CrewAI/AutoGen 等）优先
• 有 Claude Code/Cursor 等 AI 编程工具使用经验优先
• 了解 MCP/ACP 协议加分
• 有个人 Agent 项目或开源贡献加分","• 参与 AI Agent 系统开发，落地研发效能/数据处理/运维自动化场景
• 基于 LLM 构建 Agentic 工作流（多步推理、工具调用、自主规划）
• 开发 Agent 工具链：MCP 服务器、Skills、Hooks 等扩展
• 参与多 Agent 协作系统（通信、任务分配、结果聚合）
• 构建 Agent 评测体系（任务成功率、工具调用准确率）"
bilibili,Bilibili,26903,,,,,AI开发实习生（数据工程方向一）【2027届】,https://jobs.bilibili.com/campus/positions/26903,,,实习生招聘,技术类,,,,上海,,,,,,热门职位 | campusProjectId=53,2026-03-05 16:10:49,,,,"• CS相关专业优先；
• 熟悉 Python，有良好工程素养
• 了解分布式计算原理，有 Ray/Spark/Dask 经验优先
• 有多模态数据处理（视频/图片）经验优先
• 熟悉 Arrow/Parquet/Lance 等存储格式加分
• 熟悉 FFmpeg/OpenCV/Decord 加分","1.参与大规模多模态数据处理引擎开发，支撑万卡级训练数据供给
2.基于 Ray Data 构建分布式数据 Pipeline（清洗/过滤/标注）
3.参与 Lance 列式存储引擎和向量检索优化
4.设计数据质量评估模块（美学评分、去重、内容理解）
5.优化数据链路吞吐与延迟，解决大规模性能瓶颈"
bilibili,Bilibili,26911,,,,,AI开发实习生（数据工程方向二）【2027届】,https://jobs.bilibili.com/campus/positions/26911,,,实习生招聘,技术类,,,,上海,,,,,,热门职位 | campusProjectId=53,2026-03-05 16:12:49,,,,"• CS/EE/数学相关专业在读；
• 熟悉 Python + PyTorch/JAX
• 了解 GPU 计算原理，有 CUDA 编程经验优先
• 有性能分析工具经验（Nsight/PyTorch Profiler）优先
• 有 C/C++ 基础，能读底层框架源码
• 熟悉 vLLM/TGI/TensorRT-LLM 加分
• 有 Triton（OpenAI）编程经验加分","• 参与大模型训练/推理流水线性能分析与优化
• 对数据预处理、推理、后处理环节做 Profiling，消除瓶颈
• 设计 GPU 加速方案：CUDA Kernel 优化、算子融合、混合精度
• 优化数据加载链路（I/O、解码、预处理），减少 GPU 空闲
• 探索编译优化（torch.compile / TensorRT / Triton）落地"
bilibili,Bilibili,26933,,,,,AI开发实习生（模型工程方向）【2027届】,https://jobs.bilibili.com/campus/positions/26933,,,实习生招聘,技术类,,,,上海,,,,,,热门职位 | campusProjectId=53,2026-03-05 16:21:14,,,,"技术底色： 计算机相关专业，具有较强的系统编程能力，精通 Python 和 C/C++。
分布式背景： 深入理解分布式协议（如 Raft/Paxos）及分布式计算理论，有大规模集群（128卡以上）运维或开发经验。
计算底层： 熟悉 NVIDIA GPU 架构 (Hopper/Ampere/Blackwall)，理解显存层次结构、流处理器（SM）工作原理。
框架经验： 至少深入读过一种主流框架（如 PyTorch,Megatron, vLLM, DeepSpeed）的底层核心源代码。
网络与硬件： 熟悉 InfiniBand 或 RoCE 网络拓扑，了解 AI 服务器硬件架构（NVLink, NVSwitch）。","1. 分布式训练底座 (Training Infra)
架构设计： 负责维护和优化基于 Megatron-LM, DeepSpeed, Ray 或 FSDP 的大规模分布式训练框架。
通信优化： 深入优化 H/NCCL 通信库，解决 RDMA/RoCE 网络下的通信瓶颈，提升多机多卡并行效率（DP/PP/TP/CP/EP）。
稳定性保障： 构建自动容错与快速恢复系统（Checkpoint 优化、故障自动检测与接续），确保千卡集群在数月跨度的训练中保持极高可用性。
2. 推理加速与工程化 (Inference Infra)
高性能引擎： 深度定制或调优 vLLM, TensorRT-LLM, Triton Inference Server 等推理框架。
算子开发： 针对 Transformer 结构编写高性能 CUDA/Triton kernels（如 FlashAttention, PagedAttention 的底层实现或改进）。
资源调度： 优化 K8s 集群下的 GPU 资源调度，实现动态扩缩容、请求批处理（Continuous Batching）以及 Prefix Caching。
3. 存储与算力管理 (Storage & Compute)
I/O 优化： 优化超大规模数据集的加载速度，解决训练过程中的存储带宽瓶颈（如利用 GPFS, Lustre 或 JuiceFS）。
监控与观测： 建立精细化的 GPU 利用率、显存压力、网络带宽监控体系，定位并消除“长尾效应”和计算气泡。"
