source,company,position_id,parent_position_id,job_requirement_id,position_intention_id,position_intention_name,position_name,position_url,position_req_code,batch_id,batch_name,category_name,family_code,family_name,data_source,work_locations,interview_locations,departments,circles,circle_codes,channels,feature_tags,publish_time,modify_time,graduation_from,graduation_to,requirement,description
netease,NetEase,72579,,,,,3D动作生成算法实习生 ,https://hr.163.com/job-detail.html?postId=72579,,,实习生招聘,人工智能,,,,杭州市,,伏羲机器人,,,,,1766564420000,,,,"1. 学历与专业：硕士及以上学历（在读），计算机、数字媒体技术等相关专业，具有角色动画生成、角色动作建模或生成式 AI 研究经验者优先。 
2.技术能力： 
2.1  熟悉深度学习框架，能独立完成动作生成模型构建与训练，有 Diffusion时间序列建模开发经验者优先； 
2.2  了解角色动画数据交互逻辑，有骨骼动画数据（如BVH/FBX 格式）处理经验； 
2.3  掌握角色动作建模基础，能处理角色动作序列的时空特征提取与优化。 
3.科研与学习能力：具有良好的文献阅读归纳能力，能快速跟进游戏动画生成前沿动态（如风格化动作迁移、实时动作生成），发表过相关论文者优先。 
4.综合素质：责任心强，具备团队协作意识，对游戏动画、角色交互场景有浓厚兴趣。 
5.实习时间：每周出勤 4~5 天，连续实习 3~6 个月，能长期实习者优先。","1. 参与角色动作生成模型设计与优化，重点研发角色动作分层生成模型、研究基于隐空间的动作建模、跨模态动作特征融合（RGB视频数据+动捕数据），提升游戏动作自然度与一致性。 
2. 技术落地与效果验证：参与动作算法的资源生产落地，搭建算法测试环境，调试模型与引擎/DCC的数据流交互，验证动作生成的物理合理性，基于游戏美术标准进行效果量化评估。 "
netease,NetEase,74650,,,,,AI音乐工程开发实习生（后端数据向）,https://hr.163.com/job-detail.html?postId=74650,,,实习生招聘,人工智能,,,,杭州市,,音乐事业部,,,,,1774262956000,,,,"1、2027年及之后毕业的全日制在校生，近期可入职，可以实习3-6个月（6个月以上优先）；
2、具备独立的后端开发能力，擅长python的编写，熟悉接口数据测试，对完整的web系统建设流程有所了解；
3、熟悉业界领先大语言模型（如Qwen、Deepseek、Claude、Gemini系列等）的基本原理、训练范式及应用；了解大模型训练数据构建方法论，能熟练运用相关工具进行数据清洗、预处理与格式化。
4、善于学习，能逐步具备独立的系统建设能力，了解AI音乐工程的设计与建设流程；
5、工作细致认真，踏实肯干，沟通能力好，具备一定抗压能力。

【加分项】
1、有0-1AI原生独立程序开发经验，有独立的前后端系统工程建设能力优先；
2、有乐理基础、音乐科技相关知识、或音乐创作制作能力优先。","1、以Python后端开发、系统测试、数据处理为主，建设服务于歌曲创作的系统工程；
2、熟悉已有的系统工程，负责维护日常自动化运作，以及进行相关内容生产。"
netease,NetEase,70564,,,,,Agent模型算法实习生,https://hr.163.com/job-detail.html?postId=70564,,,实习生招聘,人工智能,,,,北京市,,有道事业群,,,,,1773727358000,,,,"1. 硕士及以上学历，计算机、人工智能、机器学习等相关专业（优秀者可放宽至本科）。
2. 精通 Python，熟练使用 PyTorch 等深度学习框架，具备良好的代码风格与工程习惯。
3. 具备 LLM/SLM 训练与微调经验，熟悉 SFT、对齐与强化学习相关方法（如 PPO/GRPO/DPO 等）的原理与实践。
4. 熟悉 Agent 体系与典型范式（Plan-Execute、ReAct、工具调用/函数调用、记忆与检索增强），能将算法设计与产品场景有效结合。
5. 具备检索与排序建模经验：熟悉 BM25/向量检索、重排（Cross-Encoder/Bi-Encoder）、学习排序与点击/转化建模，以及离线/在线评估方法。
6. 具备扎实的数据工程能力：数据清洗与治理、标注与弱监督、样本采样策略、难例挖掘与反馈闭环。
7. 具备良好的问题分解与实验设计能力，能在不完美数据与复杂约束下推进落地；主动负责，抗压能力强，善于沟通与协作。","1. 面向有道词典、词典笔、学习规划/小P老师等产品线，负责 Agent 能力的整体方案与核心算法研发，包括任务分解、计划-执行/反思循环（Plan-Execute / ReAct / Reflection）、长短期记忆与工具路由等。
2. 负责 SLM（Small Language Model）持续预训练与指令微调（SFT），构建高效压缩与蒸馏方案，面向端侧/低延迟场景优化推理效率。
3. 设计与实现工具调用（Function/Tool Calling）体系：工具编目与路由、参数填充、结果验证与回退、调用链追踪与可观测性，提升工具使用的成功率与收益。
4. 基于强化学习（PPO/GRPO/DPO 类方法等）与奖励建模，面向语义理解、工具使用成功率、内容生成质量等目标进行对齐与优化，支持离线/在线策略迭代。
5. 负责搜索与排序相关模型：语义检索embedding/rerank、学习排序（pointwise/pairwise/listwise）、点击/转化信号建模与评估。
6. 负责数据全链路：高质量数据构建、策略采样、合成与清洗、去重与去噪、难例挖掘、失败案例回放及工具轨迹数据集构建。
7. 建立系统化评测体系：离线基准（理解/工具成功率/可用性）、端到端任务评测、A/B 实验与线上指标监控，推进效果持续迭代。
8. 推动工程化落地：训练管线与分布式并行、推理服务化与弹性扩缩、缓存与检索加速、成本/时延/稳定性优化。
9. 跨团队协作，与产品、工程、数据及标注团队紧密配合，按期高质量交付，持续提升用户体验与业务指标。"
netease,NetEase,73324,,,,,LLM/VLM研究型 Agent 实习生（开放世界游戏方向）,https://hr.163.com/job-detail.html?postId=73324,,,实习生招聘,人工智能,,,,杭州市,,雷火事业群,,,,,1768557509000,,,,"1、计算机/AI/相关专业在读（本科高年级/硕士/博士均可），具备良好的工程实现能力；
2、熟练掌握 Python；
3、对 LLM / VLM / Agent 有实际动手经历（满足任一即可）：
（1）做过 tool-use / function calling 的 agent；
（2）做过 RAG / 向量检索 / memory 原型；
（3）做过 multi-agent 协作或任务自动化；
4、对开放世界游戏/游戏 AI（导航、交互、策略、剧情理解等）有兴趣或经验；
加分项
1、了解/用过 SFT、RFT、RL、DPO 等训练或对齐方法中的一种；
2、做过自动化评测/数据合成/轨迹学习（trajectory learning）、或有完整agnet项目闭环经验；
3、有开源贡献、技术博客、Demo 项目链接。
工作地点
杭州 / 新加坡（可选其一）","业务场景：在开放世界游戏环境中，开展游戏内容理解与动态解说，驱动智能体完成指定任务、实现自主探索，并支持多智能体复杂交互等前沿 AI 应用场景。
岗位职责
1、参与开放世界游戏场景下 Agent 相关功能的开发与迭代，包括对话交互、任务流程、工具调用等模块；
2、在现有框架基础上进行功能完善与效果优化，协助提升可用性、稳定性与一致性；
3、参与探索提升 Agent 表现的思路与方案，例如经验复用、反思/自我纠错、策略调整等方向；
4、协助设计与实现基础的 memory 机制（写入、检索、总结/压缩等），并通过实验观察其对任务表现的影响。
"
netease,NetEase,71681,,,,,图形学/3D视觉算法实习生（可微渲染方向）,https://hr.163.com/job-detail.html?postId=71681,,,实习生招聘,人工智能,,,,杭州市,,技术中心,,,,,1769424104000,,,,"1、计算机图形学或3D计算机视觉相关方向的硕士或博士；
2、掌握渲染、几何等图形学基本概念，最好在可微渲染领域有一定研究经验；
3、具备扎实的c++和python编程能力，使用过Nvdiffrast，PyTorch3D等可微渲染框架者优先；
4、有计算机图形学或视觉相关的顶级会议/期刊（SIGGRAPH、SIGGRAPH Asia、ToG、CVPR、ICCV等）发表记录者优先。","探索前沿可微渲染和AI技术在游戏行业的应用、推动相关技术在游戏项目中的落地，研究方向包括但不限于：
1. 渲染管线优化(如低配管线拟合高配管线效果)；
2. 简模生成(如模型LOD，碰撞体、遮挡体等)；
3. 纹理生成和压缩"
netease,NetEase,65260,,,,,大模型算法实习生,https://hr.163.com/job-detail.html?postId=65260,,,实习生招聘,人工智能,,,,北京市,,有道事业群,,,,,1773717302000,,,,"硕士及以上学历，计算机、人工智能、自然语言处理、机器学习等相关专业优先；
具备优秀的动手能力，熟练掌握 Linux 环境下的 Python/PyTorch 开发，代码风格规范；
拥有扎实的算法理论基础和丰富的算法研发经验，对大模型及相关领域算法有深入研究和理解；
具备高度的责任心和自驱力，优秀的沟通能力和团队协作精神，能够积极推动项目落地；
具备以下经验者优先：
智能 Agent 相关项目经验，了解 Agent 的核心思想和常用框架，有 Agent 搭建或应用经验；
RAG (检索增强生成) 相关实习或研究经历，熟悉 RAG 流程的各个环节，包括文档解析、向量检索等；
大模型训练、微调、评测经验，熟悉常用的大模型训练框架和优化方法；
多模态文档识别与理解经验，熟悉 OCR、版面分析、信息抽取等技术，有处理复杂文档的经验。
我们希望你：
对大模型技术充满热情，渴望探索前沿算法并将其应用于实际场景；
具备优秀的学习能力和解决问题的能力，能够快速适应新的技术和挑战；
乐于分享和交流，能够积极参与团队合作，共同推动技术创新。","参与前沿大模型算法的研发与落地应用，方向包括但不限于：智能 Agent、Deep Research、多模态大模型、检索增强生成 (RAG) 等；
紧跟领域最新技术动态，探索创新算法方法，并积极推动科研成果的产出；
参与技术方案讨论、算法设计与实现、模型训练与优化等研发工作，保证项目进度和研发质量；
持续学习和掌握最新的大模型相关技术，并应用于实际产品和项目中，解决实际问题。"
netease,NetEase,74890,,,,,平台算法实习生（网易云音乐）,https://hr.163.com/job-detail.html?postId=74890,,,实习生招聘,人工智能,,,,杭州市,,音乐事业部,,,,,1774417689000,,,,"1、2027年及以后毕业的全日制在校生，计算机、信息、数学专业的硕博士同学优先；
2、熟悉机器学习算法原理和实现，对深度学习/自然语言处理任一子方向有深入研究；
3、算法基础扎实，熟练掌握C++/Java/Python任一种语言，有较强的算法实现能力，可以快速将想法实现；
4、熟练掌握一种以上深度学习框架（Paddle/Tensorflow/Torch/MxNet等），有相关实践项目经验；
5、熟练掌握一种以上大数据处理套件(Hadoop、Spark、Flink等），有相关实践项目经验；
6、表现优秀者有转正机会。

加分项：
1、编程能力强，ACMICPC, NOI/IOI，Top Coder等编程比赛获奖者；
2、参加过Kaggle/Imagenet等各种机器学习算法竞赛；
3、有机器学习相关研究经验，有高水平论文成果发表；
4、在AI大模型及应用有一定使用经验及实践者优先。","我们是网易云音乐算法团队，专注于行业领先的搜索或者推荐算法，我们致力于通过技术赋能云音乐各项业务，通过社区广场推荐，提升用户体验，产生商业化价值。

在这里你可以：
1、接触到亿级别海量、真实的用户数据，使用深度学习、强化学习、图模型等算法，发挥推荐的价值；
2、使用行业领先的大规模分布式机器学习平台，例如tensorflow等开源的工具，实现并不断优化推荐、搜索等算法;
3、成为“懂数据、懂算法、懂系统、懂业务”的人才，进行数据特征、实时算法、算法分析等某一方面的工作；
4、负责实时的数据特征体系建设，采用Flink实时大数据套件，挖掘数据特征信息，辅助业务算法优化。"
netease,NetEase,56717,,,,,机器人算法实习生（决策控制方向）,https://hr.163.com/job-detail.html?postId=56717,,,实习生招聘,人工智能,,,,杭州市,,伏羲机器人,,,,,1773887856000,,,,"1、机器人学，计算机，车辆工程，自动化，应用数学等相关专业；熟悉车联网以及智能交通行业；    
2、具备V2X、无人车项目、机器人或相关应用的算法开发工作经验者优先；    
3、具备较好的编程能力，熟练掌握Simulink、C/C++等编程语言（工具），熟悉Linux系统，具有优良的开发习惯；
4、熟悉Prescan、CarSim、CarMaker、Vissm等软件工具，具备使用以上工具进行场景搭建和算法仿真开发的能力；        
5、强烈的责任心，较强的独立思考与解决问题能力，良好的沟通与团队合作能力。","1、基于V2X技术开发面向矿山无人矿卡场景的防碰撞和交通控制算法；
2、搭建基础的无人驾驶仿真环境用于算法效果的验证；
3、根据公司技术文档规范编写相应的技术文档，并完成专利、软著的申请。"
netease,NetEase,18638,,,,,游戏AI算法实习生（强化学习方向）,https://hr.163.com/job-detail.html?postId=18638,,,实习生招聘,人工智能,,,,杭州市,,雷火事业群,,,,,1773395573000,,,,"1.熟练掌握强化学习算法原理和应用；
2.熟悉Python编程语言，掌握至少一种深度学习框架（如TensorFlow、PyTorch等）；
3.具备良好的编程能力和数据分析能力；
4.较强的团队合作精神和沟通能力；
5.热爱游戏，有游戏AI相关项目经验优先。

基本要求：
27届及之后毕业，简历上需要写游戏经历.","1.参与算法模型的优化和调试，提升AI强度与表现；
2.负责测试游戏算法效果；
3.负责数据的收集和分析，为算法改进提供数据支持；"
netease,NetEase,52097,,,,,游戏AI算法实习生（用户画像方向）,https://hr.163.com/job-detail.html?postId=52097,,,实习生招聘,人工智能,,,,杭州市,,网易伏羲（已失效 D087）,,,,,1773887755000,,,,"1.有一定游戏经历（有网易游戏体验经历者优先），热爱游戏，对人工智能改变未来充满期待；
2.熟悉常用的机器学习、深度学习、数据挖掘算法；有人工智能顶会论文发表或大型数据竞赛优秀成绩者优先；
3.有组合优化算法研究或者规划问题求解器（OR-Tools，Gurobi等）应用经验者优先
4.熟悉掌握并使用Python语言
5.熟练使用主流深度学习框架，如tensorflow、pytorch、keras等；
6.能够长期实习的同学优先；
7.实时关注人工智能前沿，定期泛读优秀博客，跟进领域内前沿技术；

基本要求：2027届及之后毕业","1.使用人工智能算法赋能游戏项目，给玩家提供更加有趣的游戏体验； 
2.参与千万用户级别游戏项目的匹配系统开发，负责辅助正式员工完成特定功能模块算法设计和开发
3.充分发挥人工智能优势，深入理解与精准定位游戏玩家，挖掘游戏玩家个性化相关应用；
4.推动游戏用户画像应用通用模块建设和产品化建设；"
